# BEAST v1.6.1, Build r3651
# Generated Thu Apr 28 21:54:11 NZST 2011 [seed=1303984450769]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	ac	ag	at	cg	gt	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	clock.rate	treeLikelihood	coalescent
10000	-3372.01914770075	-61.89828931849973	-3310.1208583822504	1.6192152866758276	2.4204031153963443	0.7354256272072587	1.885646971911682	0.4546711261781399	0.45534835162856757	0.37633010087323837	0.24980198464940115	0.21510399777120545	0.24175494325950886	0.2933390743198845	0.9266192608629396	0.5864800902637249	0.037919845693024715	-3310.1208583822504	-47.37713280045992
11000	-3369.025423724766	-66.02533966433276	-3303.000084060433	2.220904582360877	3.807433822919203	0.7354256272072587	2.0301954571775727	0.38907764768882525	0.45534835162856757	0.33450146413630777	0.25460455722041525	0.2137302811748619	0.23695237068849473	0.29471279091622804	0.9266192608629396	0.5864800902637249	0.03126654717477286	-3303.000084060433	-51.24444838898314
12000	-3342.5940824149993	-39.956143321077434	-3302.637939093922	0.7671927499738055	0.8905887454136332	0.7354256272072587	2.0155490484632153	0.35729052168419545	0.5010855877856412	0.33450146413630777	0.25460455722041525	0.2133977849482995	0.23695237068849473	0.29504528714279044	0.9266192608629396	0.5864800902637249	0.09267270622984287	-3302.637939093922	-26.62433544872008
13000	-3354.302076504716	-50.04470790099904	-3304.2573686037167	1.2141974226924463	1.7323433447881171	0.7354256272072587	2.184791793982153	0.35729052168419545	0.5310478151347383	0.3189736810240158	0.2629629347789148	0.2133977849482995	0.22859399312999518	0.29504528714279044	0.9266192608629396	0.5864800902637249	0.07681341399394954	-3304.2573686037167	-35.95103408756249
14000	-3359.9527829779895	-65.88337415705644	-3294.069408820933	2.040753120805202	3.081608966941345	0.5989013576358626	2.184791793982153	0.3548459025040007	0.5310478151347383	0.24018210005458207	0.2629629347789148	0.2133977849482995	0.22005729722133427	0.30358198305145134	0.9266192608629396	0.5163413628990818	0.03742693856560898	-3294.069408820933	-51.70663243600935
15000	-3362.827241541424	-62.328321801180046	-3300.4989197402438	1.8795685493694156	3.9362102557761594	0.5989013576358626	2.155690518037774	0.3470604959546228	0.49234431526920747	0.18016417426705503	0.2629629347789148	0.2133977849482995	0.22005729722133427	0.30358198305145134	0.9266192608629396	0.5448123725200343	0.03913436900564715	-3300.4989197402438	-48.297776040369634
16000	-3382.2319821064402	-82.09448425499828	-3300.137497851442	3.8584216528100668	4.212459885135732	0.6325010902498219	2.155690518037774	0.3470604959546228	0.49234431526920747	0.18016417426705503	0.2629629347789148	0.2133977849482995	0.22005729722133427	0.30358198305145134	0.9266192608629396	0.5448123725200343	0.019164037400555525	-3300.137497851442	-67.94089435825855
17000	-3353.3892084707936	-55.57389876653245	-3297.8153097042614	1.2019160796078987	3.548833440494249	0.6211912503597588	2.155690518037774	0.3470604959546228	0.49234431526920747	0.18016417426705503	0.2629629347789148	0.2133977849482995	0.22005729722133427	0.30358198305145134	0.8631459648277989	0.5448123725200343	0.06585315833326652	-3297.8153097042614	-41.61000847671759
18000	-3331.2704171401124	-41.831807495851706	-3289.438609644261	1.1285036001726652	0.874592153099006	0.41773326126663013	1.8163657331907166	0.3470604959546228	0.417774305650854	0.18016417426705503	0.2629629347789148	0.2133977849482995	0.22005729722133427	0.30358198305145134	0.7033841641075933	0.5448123725200343	0.08328580239795176	-3289.438609644261	-30.00899378626572
19000	-3339.3235074422137	-51.163520659565236	-3288.1599867826485	1.4548824352761234	1.6768997318539607	0.41773326126663013	1.4141518451202617	0.3588899136598825	0.417774305650854	0.1676109463659472	0.2629629347789148	0.2133977849482995	0.22005729722133427	0.30358198305145134	0.6465192788803462	0.5100020150875388	0.050916267608108405	-3288.1599867826485	-38.9845091485634
