# BEAST v1.6.1, Build r3651
# Generated Thu Apr 28 21:40:57 NZST 2011 [seed=1303983656504]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(untitled1)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	coalescent
30000	-3469.6110208300943	29.984805175728717	-3499.595826005823	0.047136435099005114	0.03001476393626493	0.10006741131115911	4.212015197703795	0.25969072635179435	0.19568585165163463	0.2366334486758209	0.30798997332075023	1.0	-3499.595826005823	30.324290854689
31000	-3470.7085524375348	30.894104947686778	-3501.6026573852214	0.04483470285461878	0.031112684349990868	0.08348372676228137	4.926227284385698	0.26490724481966477	0.19568585165163463	0.22191855570021107	0.31748834782848967	1.0	-3501.6026573852214	31.26078253895221
32000	-3460.436326346535	29.666827121780134	-3490.103153468315	0.05129747598423016	0.03052405969228153	0.11059935878400767	4.270494142706078	0.26490724481966477	0.18753389967993309	0.23007050767191262	0.31748834782848967	1.0	-3490.103153468315	30.124096829743248
33000	-3465.2258608253546	27.360742962839435	-3492.586603788194	0.04893349973961876	0.028726996043793373	0.16953281459706707	4.270494142706078	0.271745297933565	0.18069584656603285	0.23007050767191262	0.31748834782848967	1.0	-3492.586603788194	28.245144883870076
34000	-3463.5011381491504	25.27482162629946	-3488.77595977545	0.04984838327411719	0.031040530640362704	0.06244686010261616	4.189985470925297	0.2746734786541536	0.17501214138479407	0.22602431529445852	0.324290064666594	1.0	-3488.77595977545	25.136074270714484
35000	-3456.433175678348	30.331733983350478	-3486.7649096616988	0.04557397010282172	0.025684086651729783	0.10907873589205865	4.130404566714888	0.2746734786541536	0.17501214138479407	0.22602431529445852	0.324290064666594	1.0	-3486.7649096616988	30.732518259652096
36000	-3455.856036136597	31.422881382704038	-3487.278917519301	0.049408388389319415	0.023252337643348123	0.10412931066678702	4.54188884329186	0.2746734786541536	0.17501214138479407	0.22602431529445852	0.324290064666594	1.0	-3487.278917519301	31.900511378793055
37000	-3460.3847404840294	30.014289183084387	-3490.3990296671136	0.05371342548203123	0.024167111089360215	0.08580042331192993	4.54188884329186	0.2746734786541536	0.17501214138479407	0.22602431529445852	0.324290064666594	1.0	-3490.3990296671136	30.298309620769793
38000	-3459.6084941180015	29.37128877521116	-3488.979782893213	0.049209525159442456	0.028761408565932862	0.127322352687721	4.57520695903488	0.27447484059978694	0.1752107794391607	0.22271971988699904	0.32759466007405347	1.0	-3488.979782893213	30.05973469604112
39000	-3453.4967243111164	28.348178213828383	-3481.8449025249447	0.0522093447301997	0.027183922739808547	0.09516810253079644	4.694766302729886	0.27164450412815805	0.1752107794391607	0.2255500563586279	0.32759466007405347	1.0	-3481.8449025249447	28.78015203394287
40000	-3453.6183580037477	31.71532269457603	-3485.333680698324	0.04925242621403463	0.024593085779624133	0.09461468717924944	3.961951198815896	0.2731145863144281	0.1752107794391607	0.2240799741723579	0.32759466007405347	1.0	-3485.333680698324	31.921616607101733
